Description,Time,CoPx,CoPy
ECN,28.0,-0.0005614280005708577,0.029686416226630513
ECN,29.0,-0.0007392334834834834,0.02742839493064493
ECN,30.0,-0.0005243401598401599,0.028424757635221922
ECN,31.0,-0.0010459241741741742,0.029434796332046334
ECN,32.0,-0.0012511517054374197,0.02788605847723705
ECN,33.0,-0.0012028896396396398,0.0283618935006435
ECN,34.0,-0.0011186186670472385,0.029180533109747397
ECN,35.0,-0.0005942261547261547,0.028240596918346916
ECN,36.0,-0.0006418327030112745,0.02921060978307407
ECN,37.0,-0.0007500923423423424,0.028370894751894752
ECN,38.0,-0.0004795238333095476,0.029347237227058655
ECN,39.0,-0.0005451683826683826,0.030675273595023596
ECN,40.0,-0.0006049335307549593,0.030694088126159556
ECN,41.0,-0.0007473324395824395,0.03045528474903475
ECN,42.0,-0.000755191094619666,0.030372757599543315
ECN,43.0,-0.0008731020663520664,0.029412513406263406
ECN,44.0,-0.0008974801983730556,0.029343547167118594
ECN,45.0,-0.0008050381095381096,0.030488765015015015
ECN,46.0,8.104581133152561e-05,0.030562451477094334
ECN,47.0,-0.00028848931073931076,0.02989187076362076
ECN,48.0,0.0021425301484230054,0.030676072927072924
ECN,49.0,0.0010663337623337623,0.031095475225225225
ECN,50.0,0.00010305683602112174,0.02963766205223348
ECN,51.0,0.0006708745531245531,0.030234786894036893
ECN,52.0,0.00031254449122306265,0.030183070037105752
ECN,53.0,8.269190619190618e-05,0.029352587694837694
ECN,54.0,-0.00018445543741972312,0.030088679499072356
ECN,55.0,-2.554011154011154e-05,0.029226678714428713
ECN,56.0,-5.973829741686884e-05,0.029109576423576422
ECN,57.0,-0.0004523413055913056,0.028083934255684256
ECN,58.0,-0.0001486221992293421,0.028561074461253035
ECN,59.0,-0.0004035789718289719,0.02850010857285857
ECN,60.0,-0.0004512187051392478,0.028377283663508467
ECR,0.0,0.002273569897242552,0.03194969727212242
ECR,1.0,0.002194212434656879,0.03079777051125199
ECR,2.0,0.002528991896991897,0.03056409864209864
ECR,3.0,0.0018603707040373708,0.029764191005820635
ECR,4.0,0.002551138713138713,0.03011292477892478
ECR,5.0,0.0032367335483631777,0.0300849674118563
ECR,6.0,0.0029424474414474415,0.03072626973026973
ECR,7.0,0.0029102224075927777,0.030122990768546323
ECR,8.0,0.0032996799866799867,0.030942359085359084
ECR,9.0,0.0038165071367663958,0.030409644422199976
ECR,10.0,0.0039315004625004625,0.02945234213934214
ECR,11.0,0.003697336632929226,0.028896469840210583
ECR,12.0,0.0037623675213675216,0.02871666167166167
ECR,13.0,0.003815418677937196,0.02904322726430134
ECR,14.0,0.0037792063122063123,0.03022700188700189
ECR,15.0,0.0036798657546435326,0.030791736069402734
ECR,16.0,0.0037088531838531838,0.031105014911014913
ECR,17.0,0.0037168567456345235,0.031348860341823305
ECR,18.0,0.0038697761127761124,0.031495034595034596
